Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Address,Latitude,Longitude,,
Traflagar Pirates CC,@TrafPirates,UK,Jersey,Jersey Evening League,92,6/14/2022,,,,,,,
Chirpys CC,@ChirpysCC,UK,Jersey,,89,6/14/2022,,,,,,,
Ravenscroft Independents CC,@IndiesCC,UK,Guernsey,,85,6/14/2022,,,,,,,
Master Blasters Aberdeen,@MBACCABN,UK,Scotland,,25,6/14/2022,,,,,,,
Ellerslie CC,@EllerslieCC1923,UK,Nottinghamshire,South Notts League,709,6/14/2022,,,NG2 7QA,,,,
Lashings World XI,@LashingsWorldXI,UK,,,19296,6/14/2022,,,,,,,
Cavaliers & Carrington CC,@CavsCarrington,UK,Nottinghamshire,EMWCL… South Notts League… Nottinghamshire Premier League… NCCA,643,6/14/2022,,,NG3 5DR,,,,
Balderton CC,@BaldoCC,UK,Nottinghamshire,South Notts League… Nottinghamshire Premier League… NCCA… Newark & District Evening League,424,6/14/2022,,,NG24 3BD,,,,
Oxton CC,@Toad_Cricket,UK,Nottinghamshire,South Notts League… NCCA,341,6/14/2022,,,NG25 0SA,,,,
Thrapston Town CC,@ThrapstonTownCC,UK,Northamptonshire,NCL,778,6/14/2022,,,NN14 4JL,,,,
Welbeck CC,@WelbeckCricket,UK,Nottinghamshire,Nottinghamshire Premier League… Bassetlaw & District Cricket League… MDCL... EMWCL,777,6/14/2022,,,NG19 8LL,,,,
Carlton CC,@CarltonCCScores,Australia,,Victorian Premier,3634,6/14/2022,,,,,,,
VRA Cricket,@VRA_Cricket_AMS,Netherlands,,,722,6/14/2022,,,,,,,
Bugbrooke CC,@BugbrookeCC,UK,Northamptonshire,NCL,486,6/14/2022,,,NN7 3PG,,,,
Werribee CC,@WerribeeCC,Australia,,VSDCA,1113,6/14/2022,,,,,,,
Chilwell CC,@ChilwellCC1,UK,Nottinghamshire,South Notts League… MDCL,322,6/14/2022,,,NG9 1RL,,,,
Mulgrave CC,@Mulgrave_CC,Australia,,,610,6/14/2022,,,,,,,
Hertfordshire CCC,@HertsCCC,UK,Hertfordshire,,93,6/14/2022,,,,,,,
Rayne CC,@RayneCClub,UK,Essex,T Rippon Mid Essex Cricket League,671,6/14/2022,,,CM77 6TX,,,,
Stewarts & Lloyds Corby CC,@slcorbycc,UK,Northamptonshire,NCL,462,6/14/2022,,,NN17 1YQ,,,,
Horley CC,@Horleycc,UK,Oxfordshire,Cherwell League,808,6/14/2022,,,OX15 6BH,,,,
Thornton CC,@ThorntonCC,UK,Yorkshire,HCL,1785,6/14/2022,,,BD13 3QZ,,,,
Stones CC,@StonesCricket,UK,Yorkshire,HCL,479,6/14/2022,,,HX6 4LQ,,,,
Crossflatts CC,@CrossflattsCC,UK,Yorkshire,Bradford Premier League… HCL,601,6/14/2022,,,BD16 2ER,,,,
Leymoor CC,@Leymoor_CC,UK,Yorkshire,HCL,391,6/14/2022,,,HD7 4QW,,,,
Edgware CC,@EdgwareCC,UK,London,Herts League… CVL,254,6/14/2022,,,HA8 6NS,,,,
Hemel Hempstead Town CC,@HHTCC2014,UK,Hertfordshire,Herts League… CVL,830,6/14/2022,,,HP1 1JZ,,,,
Harrow Weald CC,@HarrowWealdCC,UK,London,,213,6/14/2022,,,,,,,
St Albans CC,@stalbanscc,UK,Hertfordshire,Herts League… CVL,939,6/14/2022,,,AL1 4NF,,,,
Reed CC,@reedcricketclub,UK,Hertfordshire,Herts League,837,6/14/2022,,,SG8 8AX,,,,
Knebworth Park CC,@KnebParkCC,UK,Hertfordshire,Herts League,1249,6/14/2022,,,SG3 6HQ,,,,
Mill Hill Village CC,@MHVCricketClub,UK,London,Herts League,477,6/14/2022,,,NW7 1AS,,,,
Fives CC,@FivesCc,UK,London,,238,6/14/2022,,,,,,,
Old Minchendenians CC,@Minch_Cricket,UK,London,Herts League,124,6/14/2022,,,N14 4HL,,,,
Braughing CC,@BraughingCC,UK,Hertfordshire,Herts & Essex Border League… Herts League… Essex league,471,6/14/2022,,,SG11 2QL,,,,
Alexandra Park CC,@APCricketClub,UK,London,CVL,846,6/14/2022,,,N22 7AX,,,,
Actonians CC,@ActoniansCC,UK,,,1022,6/14/2022,,,,,,,
Barnes CC,@BarnesCricket,UK,London / Middlesex,Middlesex CCL… TVCL,739,6/14/2022,,,,,,,
Kenton CC,@KentonCC,UK,Middlesex,MCL… MCCL,1081,6/14/2022,,,,,,,
Stanmore CC,@StanmoreCricket,UK,London / Middlesex,Middlesex Premier League,1457,6/14/2022,,,,,,,
Acton CC,@ActonCC,UK,London / Middlesex,Middlesex CCL,1297,6/14/2022,,,,,,,
Shepherds Bush CC,@bushcricket,UK,London / Middlesex,Middlesex Premier League,1230,6/14/2022,,,,,,,
Brentham CC,@BrenthamCC,UK,Middlesex,MCCL… Middx Dev League… CVL,871,6/14/2022,,,,,,,
Ashford in the Water CC,@AshfordCC1841,UK,Derbyshire,DCCL,358,6/14/2022,,,,,,,
Wycombe House CC,@wycombehousecc,UK,,,614,6/14/2022,,,,,,,
SKLPC CC,@SKLPC_CC,UK,Middlesex,MCCL,280,6/14/2022,,,,,,,
Perivale Phoenicians CC,@Perivale_CC,UK,London,,172,6/14/2022,,,,,,,
Chiswick CC,@ChiswickCricket,UK,London,,559,6/14/2022,,,,,,,
Harrow Town CC,@HarrowTown_CC,UK,Middlesex,CVL,917,6/14/2022,,,HA2 9TY,,,,
Headstone Manor CC,@HStoneManorCC,UK,London,CVL,140,6/14/2022,,,HA2 6NG,,,,
Silsoe CC,@SilsoeCC,UK,Bedfordshire,,155,6/14/2022,,,,,,,
Biggleswade Town CC,@BiggleswadeCC,UK,Bedfordshire,BMCL,638,6/14/2022,,,SG18 0AA,,,,
Sandy CC,@CricketSandy,UK,Bedfordshire,Huntingdonshire County Cricket League... Bedfordshire Invitation Saturday League,159,6/14/2022,,,SG19 1RP,,,,
Offley & Stopsley CC,@OSCricketClub,UK,Bedfordshire,Herts League… Bedfordshire County Cricket League,227,6/14/2022,,,SG5 3EA,,,,
Steppingley CC,@SteppingleyCC,UK,Bedfordshire,Bedfordshire County Cricket League... FCCL,494,6/14/2022,,,MK45 5AT,,,,
Wilden CC,@WildenBedsCC,UK,Bedfordshire,Bedfordshire Invitational Saturday League… BMCL,93,6/14/2022,,,MK44 2PH,,,,
St Andrews CC,@StAndrewsCCBeds,UK,Bedfordshire,FCCL,268,6/14/2022,,,MK42 0GF,,,,
Great Brickhill CC,@BrickhillCC,UK,Buckinghamshire,Bedfordshire County Cricket League... FCCL… HCPCL,834,6/14/2022,,,MK17 9BA,,,,
Kimble CC,@KimbleCC,UK,Buckinghamshire,Cherwell League,522,6/14/2022,,,HP22 5XS,,,,
Leighton Buzzard Town CC,@lbtcc,UK,Bedfordshire,Cherwell League… Bedfordshire County Cricket League,713,6/14/2022,,,LU7 1RX,,,,
Brackley CC,@BrackleyCC,UK,Northamptonshire,Cherwell League… South Northants Cricket League,639,6/14/2022,,,NN13 7BN,,,,
Marsh Gibbon CC,@Marshgibboncc,UK,Oxfordshire,Cherwell League,410,6/14/2022,,,OX27 0AT,,,,
Hanborough CC,@HanboroughCC,UK,Oxfordshire,Cherwell League,414,6/14/2022,,,OX29 8JG,,,,
Witney Swifts CC,@WitneySwiftsCC,UK,Oxfordshire,Cherwell League,634,6/14/2022,,,OX29 0NB,,,,
Faringdon & District CC,@FDCC_,UK,Oxfordshire,Cherwell League,477,6/14/2022,,,SN7 8BF,,,,
Wolvercote CC,@WolvercoteCC,UK,Oxfordshire,Cherwell League,302,6/14/2022,,,OX2 8LH,,,,
Marcham CC,@MarchamCC,UK,Oxfordshire,Cherwell League,260,6/14/2022,,,OX13 6TY,,,,
Watlington CC,@watlingtoncc,UK,Oxfordshire,Cherwell League,292,6/14/2022,,,OX49 5BZ,,,,
Wootton & Boars Hill CC,@WandBHCC,UK,Oxfordshire,Cherwell League,485,6/14/2022,,,OX1 5JL,,,,
Sandford St Martin CC,@S_St_M_Cricket,UK,Oxfordshire,Cherwell League,465,6/14/2022,,,OX7 7AH,,,,
Wolverton Town CC,@WolvertonTownCC,UK,Buckinghamshire,Cherwell League… FCCL…. Bedfordshire County Cricket League,278,6/14/2022,,,MK12 5HH,,,,
Buckingham Town CC,@towncricket,UK,Buckinghamshire,Cherwell League… HCPCL,1035,6/14/2022,,,MK18 1BG,,,,
Great & Little Tew CC,@GTLTCC,UK,Oxfordshire,Cherwell League,604,6/14/2022,,,OX7 4AF,,,,
Bledlow Village CC,@bledlowcricket,UK,Buckinghamshire,Cherwell League,606,6/14/2022,,,HP27 9PF,,,,
Witney Mills CC,@WitneyMillsCC,UK,Oxfordshire,Cherwell League,1141,6/14/2022,,,OX28 3AF,,,,
Kidlington CC,@KidlingtonCC,UK,Oxfordshire,Cherwell League,519,6/14/2022,,,OX5 1UP,,,,
Dorchester (Oxon) CC,@DorchesterCC,UK,Oxfordshire,Cherwell League,429,6/14/2022,,,OX10 7PJ,,,,
Minster Lovell CC,@MinsterLovellCC,UK,Oxfordshire,Cherwell League,675,6/14/2022,,,OX29 0RN,,,,
Freeland CC,@FreelandCricket,UK,Oxfordshire,Cherwell League,242,6/14/2022,,,OX29 8AL,,,,
Bampton In The Bush CC,@Bampton_Cricket,UK,Oxfordshire,Cherwell League,273,6/14/2022,,,OX18 2AA,,,,
Middleton Cheney CC,@middleton_cc,UK,Oxfordshire,Cherwell League,455,6/14/2022,,,OX17 2PG,,,,
Middleton Stoney CC,@MiddStonCric,UK,Oxfordshire,,339,6/14/2022,,,,,,,
Fillongley CC,@Fillongleycc_,UK,Warwickshire,,76,6/15/2022,,,,,,,
Ivinghoe & Pitstone CC,@ipucc_,UK,Buckinghamshire,Mid Bucks Cricket League... Village T20 League,372,6/15/2022,,,LU7 9HP,,,,
Blenheim Park CC,@BlenheimParkCC,UK,Oxfordshire,,268,6/15/2022,,,,,,,
Ruthin CC,@ruthincclub,UK,North Wales,North Wales league,177,6/15/2022,,,,,,,
Miranda Maidens CC,@AmigasCricket,Portugal,,,336,6/15/2022,,,,,,,
Mullingar CC,@Mullingar_CC,UK,,,1061,6/15/2022,,,,,,,
Dormansland CC,@WeAreDormans,UK,Surrey / Sussex,Mid Sussex Cricket League,311,6/15/2022,,,,,,,
Weybridge Vandals CC,@WeybridgeVCC,UK,Surrey,Surrey Championship… FBSCL,1215,6/15/2022,,,,,,,
Walton-on-Trent CC,@WaltonOnTrentCC,UK,,DCCL,473,6/15/2022,,,,,,,
Ascott-U-Wychwood CC,@AUWCricketClub,UK,Oxfordshire,Cherwell League,482,6/15/2022,,,OX7 6AX,,,,
Tarleton CC,@tarletoncc,UK,Lancashire,,1605,6/15/2022,,,,,,,
Bradenham CC,@BradenhamCc,UK,Buckinghamshire,Mid Bucks Cricket League,229,6/15/2022,,,,,,,
Chipping Norton CC,@ChippingNortonC,UK,Oxfordshire,Cherwell League,745,6/15/2022,,,OX7 5SY,,,,
Mediterranean Vikings,@medvikingsgpl,Gibraltar,,,36,6/15/2022,,,,,,,
Bodleian CC,@BodleianCC,UK,,,405,6/15/2022,,,,,,,
OMT CC,@OMTCricketClub,UK,,TVCL,974,6/15/2022,,,,,,,
Forest Row CC,@ForestRowCC,UK,Sussex,Sussex Cricket League,719,6/15/2022,,,,,,,
Horsted Keynes CC,@horstedkeynescc,UK,Sussex,Central Sussex Cricket League,427,6/15/2022,,,,,,,
Firle CC,@FirleCC,UK,Sussex,SCL,704,6/15/2022,,,,,,,
Bodiam Village CC,@BodiamVillageCC,UK,Sussex,,331,6/15/2022,,,,,,,
East Preston CC,@EPCC1860,UK,Sussex,West Sussex Invitational League,461,6/15/2022,,,,,,,
Little Common Ramblers CC,@LCRamblers,UK,Sussex,Sussex Cricket League,398,6/15/2022,,,,,,,
Maresfield CC,@maresfieldcc,UK,Sussex,Sussex League,266,6/15/2022,,,,,,,
East Dean & Friston CC,@EastDeanTigers,UK,Sussex,,301,6/15/2022,,,,,,,
Warninglid CC,@ClubWarninglid,UK,,,151,6/15/2022,,,,,,,
Pett CC,@pettcc,UK,Sussex,Central Sussex Cricket League,139,6/15/2022,,,,,,,
Dome Mission CC,@DomeMission,UK,Sussex,SCL,272,6/15/2022,,,,,,,
Newick CC,@NewickCC,UK,Sussex,ESCL,1725,6/15/2022,,,,,,,
Barns Green CC,@BarnsGreenCC,UK,,,473,6/15/2022,,,,,,,
Ditchling CC,@DitchlingCC,UK,Sussex,,1140,6/15/2022,,,,,,,
Wisborough Green CC,@WizzyGcc,UK,,,443,6/15/2022,,,,,,,
Southwater CC,@SouthwaterCC,UK,Sussex,SCL,851,6/15/2022,,,,,,,
Arundel CC,@Arundel_cc,UK,Sussex,SCL,392,6/15/2022,,,,,,,
Smallfield Manor CC,@SmallfieldCC,UK,Sussex,,306,6/15/2022,,,,,,,
Hurstpierpoint CC,@HurstCC1717,UK,Sussex,,630,6/15/2022,,,,,,,
Kirkham & Wesham CC,@kwcc1830,UK,,,1175,6/15/2022,,,,,,,
BAC/EE Preston CC,@baceeprestoncc,UK,Lancashire,Palace Shield Cricket League,636,6/15/2022,,,,,,,
White Coppice CC,@WhiteCoppiceCC,UK,,Palace Shield Cricket League,1046,6/15/2022,,,,,,,
Thorton Cleveleys CC,@Illawalla,UK,,,924,6/15/2022,,,,,,,
Longridge CC,@LongridgeCC,UK,,Northern Premier League… Palace Shield,2052,6/15/2022,,,,,,,
Withnell Fold CC,@WithnellFold,UK,,Palace Shield Cricket League,701,6/15/2022,,,,,,,
Blackpool CC,@BlackpoolCC,UK,,,2780,6/15/2022,,,,,,,
Leyland CC,@LeylandCC,UK,,,2664,6/15/2022,,,,,,,
Netherfield CC,@NetherfieldCC,UK,,,2169,6/15/2022,,,,,,,
Morecambe CC,@MorecambeCC,UK,Lancashire,Northern Premier League,1961,6/15/2022,,,,,,,
Kendal CC,@kendalcricket,UK,,Northern Premier League… Palace Shield… Westmorland Cricket League,2191,6/15/2022,,,,,,,
Lancaster CC,@LancasterCC1,UK,,,1654,6/15/2022,,,,,,,
Barrow CC,@barrowcricket,UK,Cumbria,Northern Premier League,1183,6/15/2022,,,,,,,
Mawdesley CC,@MawdesleyCC,UK,Lancashire,Palace Shield Cricket League,971,6/15/2022,,,,,,,
Rufford CC,@RuffordCC,UK,Lancashire,,610,6/15/2022,,,,,,,
Eccleston CC,@ecclestoncc,UK,Lancashire,Palace Shield Cricket League,718,6/15/2022,,,,,,,
Torrisholme CC,@TorrisholmeCC,UK,,Moore & Smalley Palace Shield,928,6/15/2022,,,,,,,
South Shore CC,@unofficialsscc,UK,Lancashire,Palace Shield Cricket League,596,6/15/2022,,,,,,,
Silverdale CC,@silverdalecc,UK,,NSSCL,589,6/15/2022,,,,,,,
Fulwood and Broughton CC,@FandBCC,UK,,Northern Premier League… Palace Shield,1711,6/15/2022,,,,,,,
Garstang CC,@GarstangCC,UK,,Northern Premier League… Palace Shield,1458,6/15/2022,,,,,,,
Hoghton CC,@HoghtonCC,UK,Lancashire,Moore & Smalley Palace Shield,598,6/15/2022,,,,,,,
Grimsargh CC,@GrimsarghCC,UK,,,548,6/15/2022,,,,,,,
Gregson Lane CC,@GregsonLaneCC,UK,,Palace Shield Cricket League,593,6/15/2022,,,,,,,
Walton Le Dale CC,@WLDCricketClub,UK,,Palace Shield Cricket League,1121,6/15/2022,,,,,,,
Standish CC,@standish_cc,UK,,,1320,6/15/2022,,,,,,,
Golborne CC,@OfficialGolbyCC,UK,,GMCL,867,6/15/2022,,,,,,,
Worsley CC,@WorsleyCC,UK,,GMCL,1850,6/15/2022,,,,,,,
Roe Green CC,@RoeGreenCricket,UK,,GMCL,1820,6/15/2022,,,,,,,
Stretford CC,@Stretford_CC,UK,,GMCL,954,6/15/2022,,,,,,,
Royton CC,@RoytonCc,UK,,GMCL,1302,6/15/2022,,,,,,,
Heyside CC,@HeysideCC,UK,,GMCL,2454,6/15/2022,,,,,,,
Failsworth Macedonia CC,@FMacedoniaCC,UK,,,511,6/15/2022,,,,,,,
Ashton CC,@ashtoncc2015,UK,,GMCL,867,6/15/2022,,,,,,,
Glodwick CC,@GlodwickCC,UK,,,801,6/15/2022,,,,,,,
Werneth CC,@WernethCCnews,UK,,GMCL,1103,6/15/2022,,,,,,,
Norden CC,@NordenCC,UK,Lancashire,Lancashire League,1874,6/15/2022,,,,,,,
Milnrow CC,@MilnrowCC,UK,,,1931,6/15/2022,,,,,,,
Shaw CC,@ShawCricketClub,UK,,,1558,6/15/2022,,,,,,,
Uppermill CC,@uppermillcc,UK,,GMCL,1338,6/15/2022,,,,,,,
Droylsden CC,@DroylsdenCric,UK,,GMCL,1355,6/15/2022,,,,,,,
Crompton CC,@crompton_cc,UK,Lancashire,Lancashire League,2510,6/15/2022,,,,,,,
Middleton CC,@middletonccnews,UK,,,1831,6/15/2022,,,,,,,
Ramsbottom CC,@RamsbottomCC,UK,Lancashire,Lancashire League,4171,6/15/2022,,,,,,,
Colne CC,@ColneCricket,UK,Lancashire,Lancashire League,1886,6/15/2022,,,,,,,
Clitheroe CC,@Clitheroe_CC,UK,Lancashire,Lancashire League,2863,6/15/2022,,,,,,,
Rishton CC,@Rishtoncc,UK,,,2073,6/15/2022,,,,,,,
Rawtenstall CC,@RawtenstallCC,UK,,,2464,6/15/2022,,,,,,,
East Lancashire CC,@East_LancsCC,UK,Lancashire,,2681,6/15/2022,,,,,,,
Great Harwood CC,@greatharwoodcc,UK,Lancashire,JW Lees Lancashire League,2178,6/15/2022,,,,,,,
Read CC,@ReadCricketClub,UK,,Ribblesdale Cricket League,2459,6/15/2022,,,,,,,
Baxenden CC,@BashCC,UK,,Ribblesdale Cricket League,1348,6/15/2022,,,,,,,
Oswaldtwistle Immanuel Church CC,@oiccc_cricket,UK,,Thatchers Gold Ribblesdale League,1503,6/15/2022,,,,,,,
Brinscall CC,@brinscallcc,UK,,,1262,6/15/2022,,,,,,,
Feniscowles CC,@FeniscowlesCC,UK,,Ribblesdale Cricket League,1174,6/15/2022,,,,,,,
Springhead Congregational CC,@springheadccc,UK,,GMCL… DCCL,1311,6/16/2022,,,,,,,
Moorside C&BC,@MoorsideCBC,UK,,,421,6/16/2022,,,,,,,
Cherry Tree CC,@CherryTreeClub,UK,Lancashire,Ribblesdale Cricket League,2644,6/16/2022,,,,,,,
Dunstable Town CC,@DunstableTownCC,UK,Bedfordshire,Bedfordshire County Cricket League... Bedfordshire Invitation Saturday League,979,6/16/2022,,,LU6 1QP,,,,
Enfield CC,@Enfieldcc,UK,Lancashire,Lancashire League,3348,6/16/2022,,,,,,,
Austerlands CC,@Austerlandscc1,UK,,GMCL,625,6/16/2022,,,,,,,
IBM Hursley CC,@cc_ibm,UK,Hampshire,Hants CL,143,6/16/2022,,,,,,,
Farley CC,@Farley_Fox,UK,Hampshire / Wiltshire,Hants CL,134,6/16/2022,,,,,,,
Sarisbury Athletic CC,@SarisburyCC,UK,,Hants CL,235,6/16/2022,,,,,,,
Burley CC,@burley_cricket,UK,Hampshire,Hants CL,86,6/16/2022,,,,,,,
Ramsdell CC,@ramscricket,UK,,Hants CL,94,6/16/2022,,,,,,,
Whitchurch CC,@whitchurch_club,UK,Hampshire,Hants CL,106,6/16/2022,,,,,,,
Herriard CC,@HerriardCricket,UK,Hampshire,Hants CL,142,6/16/2022,,,,,,,
Wellow & Plaitford CC,@WellowCricket,UK,Hampshire,Hants CL,231,6/16/2022,,,,,,,
Cadnam CC,@CadnamCricket,UK,,Hants CL,233,6/16/2022,,,,,,,
Old Netley and Highfield CC,@ONandHCricket,UK,Hampshire,Hants CL,96,6/16/2022,,,,,,,
Portsmouth Community CC,@PCommunityCC,UK,Hampshire,Hants CL,224,6/16/2022,,,,,,,
"Twyford CC, Hampshire",@TwyfordCC_Hants,UK,Hampshire,Hants CL,93,6/16/2022,,,,,,,
Eastleigh CC,@EastleighCC,UK,Hampshire,Hants CL,127,6/16/2022,,,,,,,
Overton CC,@overton_cricket,UK,Hampshire,Hants CL,162,6/16/2022,,,,,,,
Kingsclere CC,@KingsclereCC,UK,Hampshire,Hants CL,161,6/16/2022,,,,,,,
Redlynch and Hale CC,@CcRedlynch,UK,Hampshire,Hants CL,148,6/16/2022,,,,,,,
Laverstock & Ford CC,@Skylarks2016,UK,Hampshire,Hants CL,21,6/16/2022,,,,,,,
Wellow & Plaitford CC,@wpccmens,UK,,,26,6/16/2022,,,,,,,
Shaftesbury CC,@shaftesburycri3,UK,Dorset,,59,6/16/2022,,,,,,,
Breamore CC,@Breamore_CC,UK,Hampshire,Hants CL,120,6/16/2022,,,,,,,
Ashford Hill CC,@AshfordHillCC,UK,Hampshire,Hants CL,99,6/16/2022,,,,,,,
Thruxton CC,@ClubThruxton,UK,Hampshire,Hants CL,101,6/16/2022,,,,,,,
Barracuda CC,@Barracuda_CC,UK,,,101,6/16/2022,,,,,,,
OT's & Romsey CC,@OtRomsey,UK,,,126,6/16/2022,,,,,,,
Longdon CC,@CcLongdon,UK,Staffordshire,,97,6/16/2022,,,,,,,
Aveley CC,@AveleyClub,UK,,National Cricket League… LCL,130,6/16/2022,,,,,,,
Ultimate Warriors CC,@ultwarriorscric,UK,London,North Herts Cricket League,227,6/16/2022,,,,,,,
Wycombe Capitals CC,@CcWycombe,UK,,SESCL,106,6/16/2022,,,,,,,
Stage CC,@StageCricket,UK,,,210,6/16/2022,,,,,,,
West Harrow CC,@WHCC1918,UK,,,57,6/16/2022,,,,,,,
Frogmore CC,@frogmorecricket,UK,Hertfordshire,Herts League,73,6/16/2022,,,AL2 2ND,,,,
Monken Nomads,@MonkenNomads,UK,London,,27,6/16/2022,,,,,,,
St. John's Wood CC,@StJWCC,UK,London,,349,6/16/2022,,,,,,,
Puttenham CC,@puttenham_cc,UK,Surrey,l'Anson League,157,6/16/2022,,,,,,,
Brook CC,@Brook_CricketC,UK,Surrey,l'Anson League,18,6/16/2022,,,,,,,
Haringey Libraries CC,@HaringeyLibCC,UK,London,,272,6/16/2022,,,,,,,
Rosaneri,@RosaneriCricket,UK,,,311,6/16/2022,,,,,,,
Nether Whitacre CC,@NWhitacreCC,UK,,,838,6/16/2022,,,,,,,
Sheldon Marlborough CC,@SMCCCricket,UK,Warwickshire,Warwickshire Cricket League,501,6/16/2022,,,,,,,
Offchurch CC,@offchurchcc,UK,,,399,6/16/2022,,,,,,,
Wolvey CC,@WolveyCC,UK,Warwickshire,Warwickshire Cricket League,410,6/16/2022,,,,,,,
Great Wakering CC,@GreatWakeringCC,UK,Essex,T Rippon Mid Essex Cricket League,179,6/16/2022,,,SS3 0EJ,,,,
Potter Street & Church Langley CC,@Potter_St_CC,UK,Essex,Herts & Essex Border League… Warsop Sunday League,153,6/16/2022,,,CM17 9TG,,,,
Old Chelmsfordians CC,@Ocscricket,UK,Essex,T Rippon Mid Essex Cricket League,640,6/16/2022,,,CM1 2NS,,,,
Purleigh CC,@PurleighCC,UK,Essex,T Rippon Mid Essex Cricket League,236,6/16/2022,,,CM3 6PE,,,,
Chigwell CC,@chigwell_cc,UK,Essex,,536,6/16/2022,,,IG7 6DN,,,,
Woodford Green CC,@WoodfordGreenCC,UK,London / Essex,Hamro Foundation Essex League,576,6/16/2022,,,IG8 9EZ,,,,
Leigh-on-Sea CC,@leighcricket,UK,Essex,Hamro Foundation Essex League,709,6/16/2022,,,SS0 8NB,,,,
Writtle CC,@WrittleCC,UK,Essex,T Rippon Mid Essex Cricket League,504,6/16/2022,,,CM1 3HP,,,,
Melton Mowbray CC,@meltoncricket,UK,Leicestershire / Rutland,L&RCL… Burrough Evening League… GMCA,1164,6/16/2022,,,LE13 1BP,,,,
Cowdrey CC,@cowdreycc,UK,Kent,,434,6/17/2022,,,,,,,
Prague Tigers CC,@praguetigerscc,Czech Rep,,,55,6/17/2022,,,,,,,
Stocksbridge CC,@StocksbridgeCC,UK,Yorkshire,YCSPL,1015,6/17/2022,,,S36 2AN,,,,
Amersham CC,@AmershamCC,UK,Buckinghamshire,HCPCL… TVCL… CVL,1684,6/17/2022,,,HP7 0RN,,,,
Elvaston CC,@ElvastonCC,UK,Derbyshire,DCCL,475,6/17/2022,,,,,,,
Wirksworth & Middleton CC,@WMcricketclub,UK,Derbyshire,MDCL… DCCL,412,6/17/2022,,,DE4 4AS,,,,
Warks Nomads CC,@WarksNomads,UK,Warwickshire,,152,6/17/2022,,,,,,,
Leinster CC,@LeinsterCC,Ireland,,,2898,6/17/2022,,,,,,,
Phoenix CC,@phoenixcricket,Ireland,,,1984,6/17/2022,,,,,,,
DUCC,@TrinityCricket,Ireland,,,994,6/17/2022,,,,,,,
Sutton Womens CC,@suttonwomensCC,UK,London / Surrey,Surrey Trust league,418,6/17/2022,,,,,,,
Twickenham Women CC,@Twixladiescc,UK,,,230,6/17/2022,,,,,,,
Alcester & Ragley Park CC,@ARPCC,UK,,,368,6/17/2022,,,,,,,
Rugby CC,@Rugby_CC,UK,Warwickshire,Warwickshire Cricket League,828,6/17/2022,,,,,,,
Hunningham CC,@HunninghamCC,UK,,,283,6/17/2022,,,,,,,
Elmley Castle CC,@ElmleyCastle_CC,UK,,Cotswolds league,261,6/17/2022,,,,,,,
Overbury CC,@OverburyCC,UK,,Cotswold Hills League,533,6/17/2022,,,,,,,
Studley CC,@StudleyCC,UK,Warwickshire,Warwickshire Cricket League,947,6/17/2022,,,,,,,
Ashorne & Moreton Morrell CC,@ashornecc,UK,Warwickshire,,1187,6/17/2022,,,,,,,
Stoneleigh CC,@StoneleighCC,UK,,Cotswold Hills League,1006,6/17/2022,,,,,,,
Moseley CC,@MoseleyCC,UK,,BDPCL… WCCL,1093,6/17/2022,,,,,,,
Attock CC,@Attockcc,UK,Warwickshire,Warwickshire Premier League,920,6/17/2022,,,,,,,
South Petherton CC,@SPethyCricket,UK,Somerset,,547,6/17/2022,,,,,,,
Waltham St Lawrence CC,@WSL_CC,UK,,BCL,358,6/17/2022,,,,,,,
Ickwell CC,@ickwellcc,UK,Bedfordshire,Huntingdonshire County Cricket League... Bedfordshire County Cricket League... BMCL,423,6/17/2022,,,SG18 9EF,,,,
Blunham CC,@Blunham_CC,UK,Bedfordshire,CCA... Huntingdonshire County Cricket League... Bedfordshire County Cricket League... Bedfordshire Invitation Saturday League... BMCL,771,6/17/2022,,,MK44 3ND,,,,
March Town CC,@marchtowncc,UK,Cambridgeshire,CCA... Rutland Cricket League,645,6/17/2022,,,PE15 9RS,,,,
Cambridgeshire CCC,@Cambs_CCC,UK,Cambridgeshire,,846,6/17/2022,,,,,,,
Wisbech CC,@WisbechCC,UK,Cambridgeshire,,1379,6/17/2022,,,,,,,
City of Ely CC,@ElyCricket,UK,Cambridgeshire,Marshall Hatchick Two Counties Cricket Championship... CCA... Huntingdonshire County Cricket League,470,6/17/2022,,,CB7 4PQ,,,,
Fordham CC,@FordhamCC,UK,Cambridgeshire,CCA,504,6/20/2022,,,CB7 5NJ,,,,
Railway Union CC,@railwaycricket,Ireland,,,2144,6/20/2022,,,,,,,
Chalford CC,@chalford_cc,UK,,,94,6/20/2022,,,,,,,
Milton CC,@CricketMilton,UK,Cambridgeshire,CCA... Cambs Business House League,501,6/20/2022,,,CB24 6XJ,,,,
Bluntisham CC,@BluntyCC,UK,Huntingdonshire,CCA... Cambs Business House League,597,6/20/2022,,,PE28 3LR,,,,
Castor and Ailsworth CC,@castorcc,UK,Huntingdonshire,CCA… Rutland Cricket League… South Lincs & Border League,1175,6/20/2022,,,PE5 7AP,,,,
Oakfield Parkonians CC,@OakfieldParksCC,UK,Essex,Hamro Foundation Essex League,514,6/20/2022,,,IG6 3HD,,,,
Eaton Socon CC,@EatonSoconcc,UK,Huntingdonshire,EAPL... CCA… Huntingdonshire County Cricket League,1441,6/20/2022,,,PE19 8HL,,,,
